式神,生命,攻击,防御,速度,暴击,效果命中,效果抵抗,一技能,一技能描述,一技能强化,二技能,二技能描述,二技能强化,三技能,三技能描述,三技能强化,觉醒效果,觉醒技能,觉醒技能描述,觉醒技能强化
一反木绵,11734.76,2733.6,418.95,118,0.05,0,0,缠击,迅速前冲并使用布幔攻击敌方目标，造成攻击100%伤害并有100%基础概率附加纠缠阻碍，持续1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至120%
Lv.5纠缠阻碍持续回合增至2回合",雪织,"束缚敌方目标，造成攻击80%伤害并附加3层缠绕。束缚期间，偷取目标40%效果命中。
对被束缚目标重复施放此技能，将消耗所有缠绕层数并造成攻击185%伤害（每消耗1层缠绕额外提升21%伤害）。
一反木绵受到普攻伤害时，束缚目标减少1层缠绕。","Lv.2每层提升伤害增至26%
Lv.3每层提升伤害增至31%
Lv.4每层提升伤害增至36%
Lv.5束缚期间，额外偷取40%效果抵抗、40%暴击",绯夜散华,"对敌方目标以及被束缚目标攻击4次，前3次造成攻击45%伤害，最后造成攻击125%伤害。然后使被束缚的目标增加1层缠绕。
若两个目标相同，不重复攻击。","Lv.2最后一次伤害增至153%
Lv.3最后一次伤害增至181%
Lv.4最后一次伤害增至209%
Lv.5若只攻击了1个目标，则返还2点鬼火",觉醒技能增强,雪织,"束缚敌方目标，造成攻击80%伤害并附加3层缠绕。束缚期间，偷取目标40%效果命中。
对被束缚目标重复施放此技能，将消耗所有缠绕层数并造成攻击185%伤害（每消耗1层缠绕额外提升21%伤害）。
一反木绵受到普攻伤害时，束缚目标减少1层缠绕。
击杀被束缚的敌方时，永久偷取其属性，直到回目结束。","Lv.2每层提升伤害增至26%
Lv.3每层提升伤害增至31%
Lv.4每层提升伤害增至36%
Lv.5束缚期间，额外偷取40%效果抵抗、40%暴击"
一目连,13899.24,2385.2,392.49,117,0.05,0,0,风符·破,打出蕴含风之力的符咒攻击敌方目标，造成攻击100%伤害并有100%基础概率偷取20%攻击，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",风符·护,"使友方目标获得无法驱散的护盾，能吸收16％生命上限的伤害，持续2回合。
护盾被击破时，对敌方全体造成生命上限8%伤害。","Lv.2护盾吸收量增至17%
Lv.3护盾被击破时造成的伤害增至10%
Lv.4护盾吸收量增至18%
Lv.5护盾被击破时造成的伤害增至12%",风神之佑,使友方全体获得无法驱散的护盾，能吸收12％生命上限的伤害并提升10%攻击，持续2回合。,"Lv.2护盾吸收量增至13%
Lv.3护盾吸收量增至14%
Lv.4护盾吸收量增至15%
Lv.5护盾吸收量增至16%",觉醒技能增强,风神之佑,使友方全体获得无法驱散的护盾，能吸收12％生命上限的伤害并提升10%攻击、15%效果抵抗，持续2回合。,"Lv.2护盾吸收量增至13%
Lv.3护盾吸收量增至14%
Lv.4护盾吸收量增至15%
Lv.5护盾吸收量增至16%"
万年竹,10139.88,3596.56,392.49,115,0.05,0,0,笛中剑,使用笛中剑攻击敌方目标，造成攻击100%伤害，有30%的概率邀战。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",竹叶守护,回合结束时，自身获得竹叶守护，持续1回合。,,竹语,使友方全体获得竹叶守护，并提升攻击，提升等同万年竹攻击10%。维持1回合。,"Lv.2竹叶守护触发概率增至50%
Lv.3提升攻击效果，增至12%
Lv.4竹叶守护触发概率增至60%
Lv.5提升攻击效果，增至15%",属性增强:攻击加成增加10%,,,
三尾狐,10367.72,2921.2,441,122,0.1,0,0,尾袭,带着微笑妩媚地接近，再以迅雷不及掩耳之势用尾巴扇刮敌方目标，造成攻击100%伤害。,"Lv.2有20%概率提升自身10点速度，持续1回合
Lv.3伤害增加至110%
Lv.4加速概率增至30%
Lv.5伤害增加至120%，提升速度效果增至20点
Lv.6加速持续回合数增至2",诱惑,造成伤害时，有50%概率附带20%吸血。,"Lv.2吸血效果增至25%
Lv.3概率增至100%
Lv.4吸血效果增至40%",红颜怒发,攻击敌方目标3次，每次造成攻击88%伤害。,"Lv.2伤害增加至97%
Lv.3造成伤害时有100%基础概率附加1层5级中毒，再附加1层狐袭印记，每层造成攻击10%间接伤害；中毒和狐袭印记均持续2回合
Lv.4伤害增加至106%
Lv.5狐袭印记的间接伤害增至20%
Lv.6中毒和狐袭印记持续回合数增至3回合",属性增强:速度增加20,,,
丑时之女,11165.16,2894.4,414.54,117,0.1,0,0,咒锥,钉打稻草人，在其背后生成咒术阵，向敌方目标射出咒锥，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",咒火,行动结束时，有20%基础概率对随机敌人附加咒火，持续2回合。,"Lv.2咒火易伤效果增至10%
Lv.3基础概率增至30%
Lv.4咒火易伤效果增至15%
Lv.5基础概率增至40%",草人替身,"召唤诅咒草人连接敌方目标，当草人受到伤害时，对被连接目标造成等量传导伤害，草人存在3回合。
草人继承目标10%生命、80%防御。","Lv.2继承生命值增至15%
Lv.3继承生命值增至20%
Lv.4继承生命值增至25%
Lv.5继承生命值增至30%",觉醒技能增强,草人替身,"召唤诅咒草人连接敌方目标，当草人受到伤害时，对被连接目标造成等量传导伤害，草人存在3回合。
草人继承目标10%生命、50%防御。","Lv.2继承生命值增至15%
Lv.3继承生命值增至20%
Lv.4继承生命值增至25%
Lv.5继承生命值增至30%"
两面佛,10481.64,3135.6,401.31,109,0.1,0,0,风雷两生,随机用一面攻击敌方目标。雷神造成攻击100%伤害；风神造成攻击25%伤害并附加风怒状态，造成攻击125%间接伤害，持续1回合。,"Lv.2雷神伤害增至105%；风神伤害增至27%，间接伤害增至132%
Lv.3雷神伤害增至110%；风神伤害增至28%，间接伤害增至138%
Lv.4雷神伤害增至115%；风神伤害增至29%，间接伤害增至144%
Lv.5雷神伤害增至125%；风神伤害增至32%，间接伤害增至157%",怒目,攻击时，雷神有100%基础概率为目标附加雷之怒目、风神有100%基础概率附加风之怒目，持续2回合。,"Lv.2降低防御、降低攻击，均增至12%
Lv.3降低防御、降低攻击，均增至14%
Lv.4降低防御、降低攻击，均增至16%
Lv.5雷神对攻击低于自身的敌方进行攻击时，击退8%行动条；风神对防御低于自身的敌方触发间接伤害后，增加自身8%行动条",神罪连击,跳入敌阵，每次随机一面攻击敌方全体3次，雷神造成攻击44%伤害；风神造成攻击11%伤害并附加风袭状态，造成攻击55%间接伤害，持续1回合。,"Lv.2雷神伤害增至47%；风神伤害增至12%，间接伤害增至59%
Lv.3雷神伤害增至49%；风神伤害增至13%，间接伤害增至61%
Lv.4雷神伤害增至51%；风神伤害增至14%，间接伤害增至64%
Lv.5雷神伤害增至55%；风神伤害增至15%，间接伤害增至69%",属性增强:伤害加成增加10%,,,
九命猫,9798.12,2974.8,454.23,108,0.1,0,0,猫爪,伸出利爪狠抓敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,报复,张牙舞爪，仿佛有发泄不完的怨恨，攻击敌方目标3次，每次造成攻击73%伤害。,"Lv.2伤害增加至77%
Lv.3伤害增加至81%
Lv.4伤害增加至85%
Lv.5伤害增加至89%",觉醒添加技能,九命,"暴击时，获得1层猫妖·九命，上限4层。
阵亡时，若拥有4层猫妖·九命，则会立即复活并治疗生命上限20%的生命，并对随机敌方目标施放『报复』。",
书翁,11393,2680,441,109,0.08,0,0,墨染,使用毛笔攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",云游,为友方目标治疗生命上限8%的生命，并使其获得天书·无隙，维持1回合。,"Lv.2天书·无隙承受伤害改为不超过生命上限12%
Lv.3同时对生命比例最低的敌方，免消耗施放『万象之书』（技能等级1）
Lv.4天书·无隙承受伤害改为不超过生命上限9%
Lv.5施放时，额外使另一生命比例最低的友方也获得天书·无隙",万象之书,为敌方目标附加天书·攻心，然后对其造成攻击80%伤害，状态维持1回合后结算。,"Lv.2天书·攻心伤害比例增至75%
Lv.3同时对生命比例最低的友方，免消耗施放『云游』（技能等级1）
Lv.4天书·攻心伤害比例增至100%
Lv.5施放时，额外为生命比例最低的另一敌方也附加天书·攻心",觉醒技能增强,云游,"为友方目标治疗生命上限8%的生命，并使其获得天书·无隙，维持1回合。
先机：自身获得天书·无隙，维持1回合。","Lv.2天书·无隙承受伤害改为不超过生命上限12%
Lv.3同时对生命比例最低的敌方，免消耗施放『万象之书』（技能等级1）
Lv.4天书·无隙承受伤害改为不超过生命上限9%
Lv.5施放时，额外使另一生命比例最低的友方也获得天书·无隙"
二口女,11506.92,2626.4,445.41,116,0.05,0,0,意外袭击,低头问好时，头上的妖灵乘机攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",恐惧,"在友方行动时，有40%概率使自身获得1层妖气弹，上限6层。
先机：获得4层妖气弹。",,歉意,消耗所有妖气弹，攻击2次，每次对随机敌方目标造成攻击51%伤害，每消耗1层妖气弹可增加1次攻击次数。,"Lv.2伤害增加至54%
Lv.3伤害增加至57%
Lv.4伤害增加至60%
Lv.5伤害增加至63%",觉醒技能增强,恐惧,"在友方行动时，有66%概率使自身获得1层妖气弹，上限6层。
先机：获得4层妖气弹。",
人面树,12987.88,1795.6,511.56,98,0.08,0,0,神木,"攻击敌方目标，造成防御100%伤害。
（唯一效果）任一敌方回合结束后，若拥有的灾厄花未达3层，则为其附加1层；若其已拥有3层灾厄花，则每层对其造成防御90%间接伤害。","Lv.2普攻伤害增加至105%
Lv.3普攻伤害增加至110%
Lv.4普攻伤害增加至115%
Lv.5普攻伤害增加至125%",灾厄花,自身回合结束时，对带有灾厄花的敌方目标，消耗所有层数，每层对其造成防御90%间接伤害。,"Lv.2间接伤害增加至95%
Lv.3间接伤害增加至100%
Lv.4间接伤害增加至105%
Lv.5当灾厄花被驱散时，自身提升5%防御，此增益状态可被驱散",祸根,"获得祸根之护，持续3回合。
对带有灾厄花的敌方目标，消耗所有层数，每层对其造成防御216%间接伤害。","Lv.2间接伤害增加至227%
Lv.3间接伤害增加至238%
Lv.4间接伤害增加至248%
Lv.5祸根之护使自身提升6%战斗初始防御",觉醒技能增强,灾厄花,"自身回合结束时，对带有灾厄花的敌方目标，消耗所有层数，每层对其造成防御90%间接伤害。
造成伤害时，若自身防御高于目标，则每差距1%，该次伤害提升1%，上限100%。","Lv.2间接伤害增加至95%
Lv.3间接伤害增加至100%
Lv.4间接伤害增加至105%
Lv.5当灾厄花被驱散时，自身提升5%防御，持续2回合，此增益状态可被驱散"
